time, seq_cnt, nlos, distance, azimuth, azimuth_fom, elevation, elevation_fom, pdoa1, pdoa2,,
20:56.7,91,0,121,37.1,100,-60,100,-95.2,-121.8,,
20:57.2,92,1,129,31.1,100,-60,100,-86.2,-125.1,,
20:57.7,93,1,121,28.5,100,-60,100,-82.5,-128.1,,
20:58.2,94,0,123,40.3,100,-60,100,-101.1,-121.6,,
20:58.7,95,1,120,26.5,100,-60,100,-79.8,-123,,
20:59.2,96,1,121,38.7,100,-60,100,-98,-122.3,,
20:59.7,97,1,115,30.5,100,-59.7,100,-85.2,-121.7,,
21:00.2,98,0,121,35.2,100,-60,100,-92,-123.4,,
21:00.7,99,0,120,38.6,100,-60,100,-97.9,-121.6,,
21:01.2,100,1,125,32.7,100,-59.2,100,-88.4,-121,,
21:01.7,101,0,123,39.9,100,-60,100,-100.4,-121.6,,
21:02.2,102,1,121,28.7,100,-59.6,100,-82.8,-121.6,,
21:02.7,103,1,121,26.5,100,-59.1,100,-79.3,-120.8,,
21:03.2,104,0,123,37.2,100,-60,100,-95.4,-123.3,,
21:03.7,105,1,121,40.4,100,-60,100,-101.2,-121.6,,
21:04.2,106,1,117,29.3,100,-59,100,-83.3,-120.7,,
21:04.7,107,1,124,39.1,100,-60,100,-98.9,-121.6,,
21:05.2,108,0,127,36.6,100,-60,100,-94.1,-123.2,,
21:05.7,109,0,127,37.3,100,-60,100,-95.4,-122.6,,
21:06.2,110,0,125,35.9,100,-60,100,-92.8,-128.6,,
21:06.7,111,1,120,25.9,100,-60,100,-79,-125.8,,
21:07.2,112,1,124,40.5,100,-60,100,-101.4,-124.5,,
21:07.7,113,1,121,27.6,100,-60,100,-81.2,-122.5,,
21:08.2,114,1,120,30.8,100,-59.5,100,-85.6,-121.3,,
21:08.7,115,1,120,25.5,100,-59.6,100,-78.2,-121.6,,
21:09.2,116,1,118,34.7,100,-57.8,100,-91.1,-118.9,,
21:09.7,117,0,127,36.5,100,-60,100,-93.9,-124.4,,
21:10.1,118,0,125,39.6,100,-60,100,-99.7,-119.5,,
21:10.7,119,0,124,31.2,100,-60,100,-86.4,-124.6,,
21:11.2,120,0,121,39.9,100,-60,100,-100.3,-120.9,,
21:11.7,121,1,123,30.7,100,-60,100,-85.7,-127.1,,
21:12.2,122,1,122,41.2,100,-60,100,-102.8,-119.7,,
21:12.6,123,1,117,21.8,100,-60,100,-70.7,-126.6,,
21:13.2,124,1,118,26.6,100,-60,100,-79.9,-122.9,,
21:13.7,125,0,121,36.5,100,-60,100,-94,-123,,
21:14.2,126,1,126,30.8,100,-58.4,100,-85.4,-119.9,,
21:14.7,127,0,125,39.5,100,-60,100,-99.5,-120,,
21:15.2,128,1,119,31.7,100,-59.4,100,-86.9,-121.3,,
21:15.7,129,1,123,41.5,100,-60,100,-103.3,-120.7,,
21:16.2,130,1,125,42.4,100,-60,100,-105,-123.3,,
21:16.7,131,0,121,40.2,100,-60,100,-101,-127.5,,
21:17.2,132,0,120,35,100,-59.4,100,-91.6,-121.3,,
21:17.7,133,1,121,41.5,100,-60,100,-103.2,-118.7,,
21:18.2,134,1,122,29.8,100,-59.1,100,-84.2,-120.8,,
21:18.7,135,1,121,29.1,100,-60,100,-83.4,-122.6,,
21:19.2,136,0,119,39.3,100,-60,100,-99.2,-124.9,,
21:19.7,137,1,123,31,100,-60,100,-86.1,-124.1,,
21:20.2,138,0,122,34.6,100,-60,100,-91.1,-122.6,,
21:20.7,139,1,118,39.1,100,-60,100,-98.9,-123.3,,
21:21.2,140,0,125,37.5,100,-60,100,-95.8,-119.8,,
21:21.7,141,1,126,29.7,100,-60,100,-84.3,-122.6,,
21:22.2,142,0,122,35.1,100,-59.1,100,-91.8,-120.8,,
21:22.7,143,1,122,39.5,100,-60,100,-99.6,-124.9,,
21:23.2,144,0,118,37.5,100,-60,100,-95.8,-121.8,,
21:23.6,145,1,120,33.3,100,-60,100,-89.3,-124.2,,
21:24.2,146,0,122,35.8,100,-58.8,100,-92.8,-120.3,,
21:24.7,147,1,124,37.9,100,-60,100,-96.7,-122.9,,
21:25.2,148,0,125,37.7,100,-60,100,-96.2,-123.2,,
21:25.7,149,1,124,39.7,100,-60,100,-100,-126.7,,
21:26.2,150,0,125,34.5,100,-58.8,100,-90.9,-120.3,,
21:26.7,151,1,127,41,100,-60,100,-102.3,-122.4,,
21:27.2,152,0,121,37.9,100,-60,100,-96.7,-122.6,,
21:27.7,153,0,121,39.2,100,-60,100,-99,-119.4,,
21:28.2,154,0,121,35.4,100,-60,100,-92.2,-119.2,,
21:28.7,155,1,126,26.4,100,-60,100,-79.6,-125.4,,
21:29.1,156,1,124,25,100,-60,100,-77.7,-124.2,,
21:29.7,157,1,124,32.3,100,-60,100,-87.8,-124.2,,
21:30.2,158,1,124,40.5,100,-60,100,-101.4,-123.1,,
21:30.7,159,1,126,28.6,100,-60,100,-82.7,-126.6,,
21:31.2,160,0,120,39.9,100,-60,100,-100.3,-123,,
21:31.7,161,1,126,26,100,-60,100,-79,-126.7,,
21:32.2,162,1,121,40.4,100,-60,100,-101.3,-120.2,,
21:32.7,163,0,123,36.2,100,-60,100,-93.5,-124.1,,
21:33.2,164,0,123,36.2,100,-60,100,-93.4,-123.1,,
21:33.7,165,1,127,29.5,100,-59.1,100,-83.6,-120.8,,
21:34.2,166,1,121,27.5,100,-60,100,-81.1,-123.1,,
21:34.7,167,1,118,37.9,100,-60,100,-96.6,-123.3,,
21:35.2,168,1,123,39.5,100,-60,100,-99.6,-124.3,,
21:35.7,169,0,121,39.4,100,-60,100,-99.3,-121.7,,
21:36.2,170,1,122,39.6,100,-60,100,-99.9,-126.3,,
21:36.6,171,0,118,35.2,100,-60,100,-92,-125.1,,
21:37.2,172,1,124,42.3,100,-60,100,-104.8,-125,,
21:37.7,173,1,120,31.8,100,-59.3,100,-87,-121.1,,
21:38.2,174,1,127,29,100,-58.4,100,-82.8,-119.8,,
21:38.7,175,0,126,33.1,100,-60,100,-89,-124.1,,
21:39.2,176,1,126,32.2,100,-60,100,-87.8,-123.5,,
21:39.6,177,0,122,37.5,100,-60,100,-95.8,-126.3,,
21:40.2,178,1,121,41.1,100,-60,100,-102.6,-119,,
21:40.7,179,1,121,25.3,100,-60,100,-78,-124.6,,
21:41.2,180,1,125,26.1,100,-58.5,100,-78.5,-120,,
21:41.6,181,0,121,34.4,100,-60,100,-90.8,-125,,
21:42.2,182,0,121,38.9,100,-60,100,-98.4,-120.5,,
21:42.7,183,1,121,39.7,100,-60,100,-99.9,-125.8,,
21:43.2,184,0,123,37.7,100,-60,100,-96.2,-124.7,,
21:43.7,185,1,115,40.5,100,-60,100,-101.5,-124,,
21:44.2,186,1,125,40.2,100,-60,100,-100.9,-124.3,,
21:44.7,187,1,122,28.7,100,-58.2,100,-82.2,-119.5,,
21:45.2,188,1,125,32.7,100,-60,100,-88.4,-124.2,,
21:45.7,189,0,123,36.4,100,-60,100,-93.9,-127.6,,
21:46.2,190,0,124,30,100,-60,100,-84.6,-122.9,,
21:46.7,191,0,124,36.3,100,-59.4,100,-93.6,-121.2,,
21:47.2,192,1,120,24.8,100,-60,100,-77.4,-123.8,,
21:47.7,193,0,125,36.5,100,-60,100,-94,-123.5,,
21:48.2,194,1,118,25.2,100,-60,100,-78,-127,,
21:48.7,195,1,124,31,100,-60,100,-86,-124.1,,
21:49.2,196,0,122,40.7,100,-60,100,-101.9,-122,,
21:49.7,197,1,121,31.2,100,-60,100,-86.4,-125.1,,
21:50.2,198,0,125,32.2,100,-58,100,-87.4,-119.1,,
21:50.7,199,1,123,31.9,100,-57.6,100,-86.9,-118.7,,
21:51.2,200,0,128,39.6,100,-60,100,-99.9,-122.3,,
21:51.7,201,1,121,39.8,100,-60,100,-100.2,-124.9,,
21:52.2,202,1,125,39,100,-60,100,-98.6,-123.2,,
21:52.7,203,0,125,32.2,100,-59.9,100,-87.8,-122.1,,
21:53.1,204,1,122,35.6,100,-60,100,-92.5,-125.1,,
21:53.7,205,1,122,26.5,100,-60,100,-79.8,-125,,
21:54.2,206,0,117,40.1,100,-60,100,-100.8,-124.2,,
21:54.7,207,0,124,35.9,100,-60,100,-92.9,-123.3,,
21:55.2,208,1,129,39.7,100,-60,100,-99.9,-125.2,,
21:55.7,209,0,124,35.2,100,-60,100,-92,-123.5,,
21:56.2,210,1,120,38.7,100,-60,100,-98.1,-125,,
21:56.7,211,1,120,30.2,100,-59.6,100,-84.9,-121.6,,
21:57.2,212,1,122,27.1,100,-60,100,-80.7,-124.1,,
