time, seq_cnt, nlos, distance, azimuth, azimuth_fom, elevation, elevation_fom, rssi, pdoa1, pdoa2
2025-12-18 16:57:38.149,63,0,98,-18.5,100,-57.3,100,-80.0,46.8,-96.8
2025-12-18 16:57:38.349,64,0,100,-16.5,100,-60.0,100,-80.0,42.9,-97.4
2025-12-18 16:57:38.549,65,0,98,-18.9,100,-57.1,100,-81.0,47.7,-97.0
2025-12-18 16:57:38.744,66,0,99,-17.9,100,-56.9,100,-80.0,45.2,-95.9
2025-12-18 16:57:38.949,67,0,103,-18.1,100,-57.2,100,-80.0,45.9,-96.4
2025-12-18 16:57:39.144,68,0,100,-18.1,100,-55.5,100,-80.5,45.1,-94.6
2025-12-18 16:57:39.349,69,0,100,-20.1,100,-58.6,100,-80.0,51.2,-99.9
2025-12-18 16:57:39.549,70,0,98,-21.3,100,-55.9,100,-80.5,53.2,-97.1
2025-12-18 16:57:39.749,71,0,103,-19.2,100,-57.7,100,-81.0,48.6,-97.9
2025-12-18 16:57:39.943,72,0,97,-17.6,100,-56.5,100,-80.0,44.2,-95.3
2025-12-18 16:57:40.138,73,0,98,-18.7,100,-53.8,100,-81.0,45.8,-93.0
2025-12-18 16:57:40.338,74,0,103,-18.7,100,-53.9,100,-81.0,45.9,-93.1
2025-12-18 16:57:40.548,75,0,103,-17.4,100,-60.0,100,-80.5,45.3,-98.6
2025-12-18 16:57:40.748,76,0,92,-19.9,100,-54.9,100,-80.0,49.2,-94.9
2025-12-18 16:57:40.948,77,0,95,-19.5,100,-58.9,100,-79.5,49.8,-99.6
2025-12-18 16:57:41.143,78,0,100,-19.3,100,-55.8,100,-80.0,48.1,-95.7
2025-12-18 16:57:41.349,79,0,100,-19.4,100,-54.2,100,-80.0,47.7,-93.8
2025-12-18 16:57:41.549,80,0,97,-20.2,100,-53.5,100,-80.0,49.5,-93.3
2025-12-18 16:57:41.754,81,0,98,-17.9,100,-58.9,100,-80.0,45.9,-98.0
2025-12-18 16:57:41.954,82,0,101,-18.5,100,-55.8,100,-80.5,46.1,-95.1
2025-12-18 16:57:42.154,83,0,99,-18.0,100,-56.9,100,-80.0,45.6,-96.0
2025-12-18 16:57:42.349,84,0,104,-19.2,100,-54.5,100,-80.5,47.3,-94.0
2025-12-18 16:57:42.549,85,0,96,-20.1,100,-56.3,100,-80.0,50.4,-97.0
2025-12-18 16:57:42.723,86,0,98,-17.9,100,-59.1,100,-80.0,46.2,-98.2
2025-12-18 16:57:42.948,87,0,100,-16.7,100,-59.5,100,-80.5,43.2,-97.2
2025-12-18 16:57:43.118,88,0,100,-17.1,100,-58.0,100,-79.5,43.7,-96.3
2025-12-18 16:57:43.318,89,0,98,-18.7,100,-54.9,100,-80.5,46.4,-94.3
2025-12-18 16:57:43.518,90,0,94,-20.0,100,-52.6,100,-80.0,48.7,-91.9
2025-12-18 16:57:43.718,91,0,97,-18.0,100,-56.1,100,-81.0,45.1,-95.2
2025-12-18 16:57:43.918,92,0,106,-16.5,100,-60.0,100,-80.0,43.0,-99.2
2025-12-18 16:57:44.118,93,0,95,-17.6,100,-56.0,100,-81.0,44.0,-94.8
2025-12-18 16:57:44.317,94,0,97,-17.9,100,-55.7,100,-81.0,44.8,-94.7
2025-12-18 16:57:44.518,95,0,96,-17.8,100,-58.5,100,-80.5,45.5,-97.4
2025-12-18 16:57:44.718,96,0,95,-19.2,100,-57.5,100,-80.5,48.5,-97.6
2025-12-18 16:57:44.918,97,0,94,-18.4,100,-51.7,100,-80.5,44.0,-90.6
2025-12-18 16:57:45.118,98,0,96,-17.2,100,-58.2,100,-80.5,44.2,-96.7
2025-12-18 16:57:45.318,99,0,99,-17.9,100,-55.0,100,-80.5,44.3,-94.0
2025-12-18 16:57:45.518,100,0,96,-19.5,100,-57.6,100,-80.0,49.4,-98.1
2025-12-18 16:57:45.718,101,0,97,-18.2,100,-54.9,100,-80.5,45.0,-94.0
2025-12-18 16:57:45.918,102,0,99,-19.2,100,-54.7,100,-80.0,47.5,-94.3
2025-12-18 16:57:46.118,103,0,100,-18.5,100,-55.1,100,-80.0,46.0,-94.4
2025-12-18 16:57:46.318,104,0,95,-18.6,100,-54.3,100,-80.5,45.8,-93.6
2025-12-18 16:57:46.518,105,0,96,-19.2,100,-55.1,100,-81.5,47.5,-94.8
2025-12-18 16:57:46.718,106,0,97,-19.1,100,-54.8,100,-80.0,47.1,-94.3
2025-12-18 16:57:46.918,107,0,94,-18.2,100,-57.8,100,-79.5,46.3,-97.1
2025-12-18 16:57:47.118,108,0,97,-18.2,100,-59.6,100,-81.0,46.9,-99.1
2025-12-18 16:57:47.317,109,0,98,-17.7,100,-56.0,100,-80.5,44.4,-94.9
2025-12-18 16:57:47.517,110,0,101,-18.9,100,-55.3,100,-80.0,46.8,-94.9
2025-12-18 16:57:47.718,111,0,96,-18.0,100,-53.2,100,-80.0,43.8,-92.2
2025-12-18 16:57:47.918,112,0,95,-18.2,100,-53.9,100,-80.5,44.8,-93.0
2025-12-18 16:57:48.118,113,0,101,-17.7,100,-59.9,100,-80.5,45.9,-98.8
2025-12-18 16:57:48.318,114,0,99,-20.1,100,-54.9,100,-80.0,49.7,-95.0
2025-12-18 16:57:48.518,115,0,104,-17.2,100,-58.0,100,-80.0,43.9,-96.4
2025-12-18 16:57:48.718,116,0,104,-19.3,100,-56.1,100,-80.5,48.3,-96.1
2025-12-18 16:57:48.918,117,0,98,-19.2,100,-52.8,100,-81.0,46.5,-92.0
2025-12-18 16:57:49.118,118,0,103,-18.2,100,-54.0,100,-80.5,44.8,-93.0
2025-12-18 16:57:49.318,119,0,100,-16.9,100,-59.8,100,-79.0,43.9,-97.7
2025-12-18 16:57:49.518,120,0,104,-17.8,100,-58.4,100,-80.0,45.7,-97.5
2025-12-18 16:57:49.718,121,0,96,-18.4,100,-55.5,100,-81.0,46.0,-94.9
2025-12-18 16:57:49.918,122,0,95,-18.9,100,-57.0,100,-80.0,47.6,-96.9
2025-12-18 16:57:50.118,123,0,100,-18.4,100,-54.5,100,-79.5,45.4,-93.7
2025-12-18 16:57:50.348,124,0,102,-17.9,100,-52.3,100,-80.0,43.1,-91.2
2025-12-18 16:57:50.553,125,0,96,-17.0,100,-59.0,100,-79.5,43.8,-97.1
2025-12-18 16:57:50.728,126,0,99,-18.7,100,-55.7,100,-80.0,46.8,-95.2
2025-12-18 16:57:50.949,127,0,96,-17.2,100,-60.0,100,-80.5,44.7,-100.5
2025-12-18 16:57:51.144,128,0,103,-18.7,100,-52.7,100,-79.5,45.4,-91.8
2025-12-18 16:57:51.339,129,0,97,-17.9,100,-55.3,100,-79.5,44.6,-94.3
2025-12-18 16:57:51.549,130,0,93,-18.5,100,-55.7,100,-81.0,46.2,-95.0
2025-12-18 16:57:51.733,131,0,98,-20.0,100,-54.1,100,-79.5,49.2,-93.9
2025-12-18 16:57:51.943,132,0,98,-20.6,100,-54.1,100,-80.0,50.8,-94.2
2025-12-18 16:57:52.149,133,0,98,-19.6,100,-56.3,100,-79.5,49.1,-96.5
2025-12-18 16:57:52.348,134,0,93,-18.2,100,-59.8,100,-79.5,46.8,-99.2
2025-12-18 16:57:52.548,135,0,92,-19.4,100,-55.9,100,-80.5,48.3,-95.9
2025-12-18 16:57:52.738,136,0,102,-18.4,100,-55.2,100,-80.0,45.7,-94.5
2025-12-18 16:57:52.938,137,0,98,-18.7,100,-58.3,100,-81.5,47.6,-98.2
2025-12-18 16:57:53.133,138,0,102,-16.8,100,-60.0,100,-80.0,43.8,-101.9
2025-12-18 16:57:53.348,139,0,94,-18.9,100,-55.8,100,-79.5,47.1,-95.5
2025-12-18 16:57:53.553,140,0,99,-18.5,100,-55.5,100,-80.5,46.2,-94.9
2025-12-18 16:57:53.748,141,0,97,-22.1,100,-57.5,100,-80.5,56.0,-100.3
2025-12-18 16:57:53.954,142,0,98,-18.7,100,-55.1,100,-80.0,46.4,-94.5
2025-12-18 16:57:54.154,143,0,95,-19.1,100,-54.4,100,-80.0,47.0,-93.9
2025-12-18 16:57:54.354,144,0,94,-18.1,100,-56.6,100,-79.5,45.7,-95.8
2025-12-18 16:57:54.554,145,0,98,-17.7,100,-57.2,100,-79.5,44.7,-96.0
2025-12-18 16:57:54.754,146,0,98,-17.8,100,-54.1,100,-80.0,43.7,-93.0
2025-12-18 16:57:54.954,147,0,98,-17.7,100,-57.7,100,-80.5,45.1,-96.6
2025-12-18 16:57:55.154,148,0,99,-17.4,100,-57.1,100,-81.0,44.0,-95.8
2025-12-18 16:57:55.353,149,0,101,-18.4,100,-57.4,100,-81.5,46.8,-97.0
2025-12-18 16:57:55.553,150,0,94,-17.5,100,-55.7,100,-79.5,43.7,-94.4
2025-12-18 16:57:55.753,151,0,94,-17.7,100,-56.0,100,-80.0,44.4,-94.9
2025-12-18 16:57:55.953,152,0,100,-18.1,100,-52.2,100,-79.5,43.4,-91.1
2025-12-18 16:57:56.153,153,0,101,-17.5,100,-60.0,100,-80.5,45.5,-98.9
2025-12-18 16:57:56.353,154,0,94,-17.7,100,-56.3,100,-79.5,44.5,-95.2
2025-12-18 16:57:56.553,155,0,98,-18.4,100,-56.7,100,-80.0,46.4,-96.1
2025-12-18 16:57:56.753,156,0,100,-18.9,100,-57.5,100,-79.5,47.8,-97.4
2025-12-18 16:57:56.948,157,0,101,-18.6,100,-54.9,100,-80.0,46.2,-94.3
2025-12-18 16:57:57.154,158,0,98,-18.1,100,-57.8,100,-80.0,46.1,-97.0
2025-12-18 16:57:57.354,159,0,98,-17.6,100,-56.6,100,-80.0,44.2,-95.3
2025-12-18 16:57:57.554,160,0,98,-18.3,100,-58.0,100,-80.0,46.6,-97.4
2025-12-18 16:57:57.754,161,0,95,-17.9,100,-54.7,100,-80.0,44.2,-93.7
2025-12-18 16:57:57.949,162,0,93,-18.3,100,-56.4,100,-80.0,46.1,-95.7
2025-12-18 16:57:58.154,163,0,95,-20.6,100,-51.1,100,-80.0,49.6,-90.0
2025-12-18 16:57:58.353,164,0,103,-18.0,100,-53.8,100,-80.0,44.0,-92.8
2025-12-18 16:57:58.553,165,0,95,-19.9,100,-56.4,100,-80.0,49.9,-96.9
2025-12-18 16:57:58.753,166,0,96,-18.3,100,-55.8,100,-79.5,45.8,-95.1
2025-12-18 16:57:58.953,167,0,97,-17.4,100,-58.1,100,-81.5,44.6,-96.7
2025-12-18 16:57:59.153,168,0,100,-17.5,100,-59.3,100,-79.5,45.2,-98.0
2025-12-18 16:57:59.343,169,0,95,-18.2,100,-54.8,100,-82.0,45.2,-94.0
2025-12-18 16:57:59.548,170,0,95,-19.1,100,-56.7,100,-81.0,48.0,-96.7
2025-12-18 16:57:59.748,171,0,92,-18.5,100,-54.0,100,-80.0,45.5,-93.2
2025-12-18 16:57:59.953,172,0,95,-18.0,100,-55.6,100,-80.5,44.9,-94.6
2025-12-18 16:58:00.153,173,0,99,-19.3,100,-54.4,100,-80.5,47.6,-94.0
