time, seq_cnt, nlos, distance, azimuth, azimuth_fom, elevation, elevation_fom, rssi, pdoa1, pdoa2
2025-12-18 19:28:43.897,-1,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0
2025-12-18 19:28:44.293,-1,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0
2025-12-18 19:28:44.694,-1,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0
2025-12-18 19:28:45.095,-1,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0
2025-12-18 19:28:45.496,-1,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0
2025-12-18 19:28:45.897,-1,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0
2025-12-18 19:28:46.299,-1,-1,-1,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0
2025-12-18 19:28:46.665,7,0,37,51.4,100,-60.0,100,-71.5,-113.4,-126.5
2025-12-18 19:28:46.865,8,0,43,49.8,100,-60.0,100,-71.0,-110.4,-108.8
2025-12-18 19:28:47.060,9,0,42,48.6,100,-60.0,100,-71.5,-108.3,-107.5
2025-12-18 19:28:47.265,10,0,40,50.6,100,-60.0,100,-71.0,-112.0,-110.6
2025-12-18 19:28:47.464,11,0,39,51.5,100,-60.0,100,-72.0,-113.5,-134.0
2025-12-18 19:28:47.659,12,0,39,50.4,100,-60.0,100,-72.0,-111.5,-130.5
2025-12-18 19:28:47.864,13,0,41,48.9,100,-60.0,100,-71.5,-108.9,-136.1
2025-12-18 19:28:48.064,14,0,36,51.7,100,-60.0,100,-72.0,-113.9,-129.3
2025-12-18 19:28:48.264,15,0,38,49.7,100,-60.0,100,-71.0,-110.3,-110.6
2025-12-18 19:28:48.465,16,0,45,51.1,100,-60.0,100,-71.0,-112.8,-137.8
2025-12-18 19:28:48.670,17,0,45,51.1,100,-60.0,100,-71.5,-112.9,-135.2
2025-12-18 19:28:48.870,18,0,38,50.9,100,-60.0,100,-71.5,-112.4,-133.6
2025-12-18 19:28:49.064,19,0,39,49.6,100,-60.0,100,-72.0,-110.0,-120.0
2025-12-18 19:28:49.264,20,0,38,51.1,100,-60.0,100,-71.5,-112.8,-123.5
2025-12-18 19:28:49.464,21,0,40,49.6,100,-60.0,100,-72.5,-110.0,-126.7
2025-12-18 19:28:49.664,22,0,39,47.6,100,-60.0,100,-71.0,-106.7,-140.2
2025-12-18 19:28:49.859,23,0,40,50.8,100,-60.0,100,-71.0,-112.2,-128.5
2025-12-18 19:28:50.064,24,0,37,51.1,100,-60.0,100,-71.5,-112.8,-124.4
2025-12-18 19:28:50.260,25,0,39,47.5,100,-60.0,100,-71.5,-106.6,-114.3
2025-12-18 19:28:50.460,26,0,38,51.6,100,-60.0,100,-72.0,-113.7,-120.5
2025-12-18 19:28:50.660,27,0,42,50.9,100,-60.0,100,-71.0,-112.5,-101.9
2025-12-18 19:28:50.859,28,0,38,50.2,100,-60.0,100,-71.5,-111.3,-116.0
2025-12-18 19:28:51.064,29,0,42,49.7,100,-60.0,100,-70.5,-110.3,-117.3
2025-12-18 19:28:51.264,30,0,39,50.6,100,-60.0,100,-70.5,-112.0,-132.5
2025-12-18 19:28:51.469,31,0,44,51.6,100,-60.0,100,-71.5,-113.8,-126.9
2025-12-18 19:28:51.664,32,0,44,50.7,100,-60.0,100,-71.0,-112.2,-133.2
2025-12-18 19:28:51.864,33,0,39,49.1,100,-60.0,100,-71.5,-109.2,-121.1
2025-12-18 19:28:52.065,34,0,38,50.8,100,-60.0,100,-71.0,-112.2,-122.9
